                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2023


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   54.3   64.3  14:48   48.9  00:57   10.7    0.0   0.00    6.3   27.0  13:19    196
 02   58.0   75.3  13:43   47.8  01:38    7.0    0.0   0.00    3.5   21.0  17:05    200
 03   62.8   89.0  14:45   45.1  05:47    2.2    0.0   0.00    2.5   21.0  18:13    193
 04   61.5   82.2  11:53   47.1  06:23    3.5    0.0   0.00    5.3   30.0  17:40    194
 05   56.1   60.0  11:13   53.1  02:09    8.9    0.0   0.00    7.6   23.0  15:40    197
 06   55.5   57.3  12:55   53.8  05:09    9.5    0.0   0.00    4.3   16.0  02:28    199
 07   58.1   63.9  15:41   53.1  23:58    6.9    0.0   0.00    3.9   17.0  20:09    200
 08   60.0   76.8  12:53   47.8  04:36    5.0    0.0   0.00    4.0   23.0  18:01    192
 09   60.1   74.8  14:25   51.0  04:22    4.9    0.0   0.00    5.3   27.0  16:18    197
 10   60.1   76.1  14:22   53.4  23:33    4.9    0.0   0.00    6.1   31.0  17:48    198
 11   57.3   65.3  15:21   52.8  03:18    7.7    0.0   0.00    7.4   27.0  16:03    196
 12   58.1   64.9  13:58   53.7  03:41    6.9    0.0   0.00    6.4   24.0  14:12    197
 13   60.3   75.5  13:07   50.7  02:26    4.7    0.0   0.00    5.7   30.0  19:03    198
 14   61.5   78.1  13:57   51.0  04:49    3.5    0.0   0.00    5.7   32.0  17:34    194
 15   59.6   68.9  15:24   54.2  01:49    5.4    0.0   0.00    7.7   26.0  16:10    199
 16   64.0   77.7  15:41   55.5  01:27    1.0    0.0   0.00    4.6   24.0  13:30    193
 17   68.8   89.0  15:22   52.8  05:40    0.0    3.8   0.00    3.2   21.0  16:47    192
 18   62.8   77.6  11:38   50.1  06:13    2.2    0.0   0.00    4.7   25.0  16:54    202
 19   61.6   77.4  16:08   48.5  05:50    3.4    0.0   0.00    5.2   28.0  21:54    337
 20   62.7   82.8  16:58   45.0  06:28    2.3    0.0   0.00    4.3   24.0  21:55    345
 21   63.4   81.7  13:37   46.6  06:20    1.6    0.0   0.00    3.6   21.0  17:30    245
 22   55.6   64.3  14:21   47.6  02:28    9.4    0.0   0.00    5.8   25.0  13:15    199
 23   59.6   72.3  13:17   48.1  02:35    5.4    0.0   0.00    3.2   25.0  17:41    197
 24   60.9   79.0  14:07   49.8  05:56    4.1    0.0   0.00    1.3   23.0  18:31    183
 25   61.1   75.8  15:48   51.6  02:41    3.9    0.0   0.00    0.9   17.0  16:14    157
 26   63.1   81.1  14:32   53.2  01:51    1.9    0.0   0.00    0.8   18.0  16:19    313
 27   63.0   84.6  14:21   50.3  05:46    2.0    0.0   0.00    0.7   16.0  14:44    139
 28   62.9   81.4  14:05   50.5  04:13    2.1    0.0   0.00    0.5   14.0  15:17    152
 29   72.6   95.6  14:30   51.5  05:18    0.0    7.6   0.00    2.6   18.0  15:22    269
 30   80.7  106.3  16:00   56.7  06:07    0.0   15.7   0.00    2.0   15.0  17:21    328
---------------------------------------------------------------------------------------
      61.5  106.3     30   45.0     20  131.1   27.1   0.00    4.2   32.0     14    200
