                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2020


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   50.6   71.2  13:46   33.4  06:48   14.4    0.0   0.00    1.8    9.0  11:28    354
 02   49.3   72.4  14:51   30.5  07:14   15.7    0.0   0.00    1.0    9.0  16:00    201
 03   49.8   73.2  14:42   31.3  07:07   15.2    0.0   0.00    0.9    8.0  13:56    345
 04   47.8   74.2  15:24   30.1  06:54   17.2    0.0   0.00    1.1    9.0  12:03      6
 05   49.7   74.0  14:11   32.6  07:42   15.3    0.0   0.00    1.4   12.0  14:55    184
 06   47.7   65.4  14:16   29.9  07:35   17.3    0.0   0.00    1.5   12.0  23:58    354
 07   48.5   67.5  15:23   31.9  05:52   16.5    0.0   0.00    2.2   15.0  10:58    358
 08   46.8   62.8  15:03   33.5  07:18   18.2    0.0   0.00    1.2    8.0  05:13      4
 09   50.9   76.9  14:17   31.4  07:25   14.1    0.0   0.00    0.9    8.0  20:29    149
 10   48.3   68.1  15:42   31.2  07:13   16.7    0.0   0.00    1.6   14.0  15:01      1
 11   44.8   60.0  15:21   31.3  02:14   20.2    0.0   0.00    2.1   14.0  15:39    345
 12   52.2   65.0  14:39   40.6  06:55   12.8    0.0   0.00    2.8   21.0  14:10    340
 13   48.7   57.9  11:48   39.3  05:48   16.3    0.0   0.03    3.4   23.0  14:56    186
 14   48.6   56.7  14:22   39.1  23:59   16.4    0.0   0.00    5.5   23.0  10:41    334
 15   45.4   62.5  14:30   32.0  06:24   19.6    0.0   0.00    1.7   10.0  13:07    353
 16   48.7   64.7  13:58   35.0  05:16   16.3    0.0   0.00    1.7    9.0  11:37      2
 17   50.9   59.5  12:01   44.0  23:58   14.1    0.0   0.00    5.7   23.0  15:16    330
 18   45.1   61.3  15:06   33.9  04:20   19.9    0.0   0.00    2.2   14.0  14:18    355
 19   46.5   66.3  15:11   30.0  07:15   18.5    0.0   0.00    2.0    9.0  02:13      2
 20   48.8   68.3  14:39   33.2  04:28   16.2    0.0   0.00    2.3   12.0  12:53      1
 21   46.7   72.4  15:38   28.4  07:36   18.3    0.0   0.00    0.7    6.0  10:34     98
 22   43.7   65.3  14:09   27.3  07:28   21.3    0.0   0.00    1.4   11.0  13:27     15
 23   45.9   60.4  15:16   33.4  07:27   19.1    0.0   0.00    0.2   12.0  13:26     25
 24   45.6   65.1  15:52   31.8  07:35   19.4    0.0   0.00    0.8    7.0  09:51     30
 25   48.8   67.7  13:15   31.2  06:21   16.2    0.0   0.00    3.2   18.0  15:04    191
 26   51.1   61.8  14:12   42.2  23:58   13.9    0.0   0.01    3.5   19.0  16:48    335
 27   47.3   60.5  12:46   39.5  02:27   17.7    0.0   0.31    4.4   22.0  21:51    187
 28   46.0   51.2  13:33   38.0  23:57   19.0    0.0   0.55    2.0   15.0  08:51    154
 29   42.0   57.5  16:05   34.3  03:27   23.0    0.0   0.01    1.2   10.0  13:20    347
 30   41.6   57.0  15:34   28.2  07:25   23.4    0.0   0.00    1.5   11.0  14:16    358
 31   45.4   58.3  14:19   33.5  02:16   19.6    0.0   0.00    3.0   20.0  07:49    346
---------------------------------------------------------------------------------------
      49.3   76.9     09   27.3     22  542.1    0.0   0.91    1.3   23.0     13    351
    
