                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2024


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   50.1   61.0  15:08   45.1  00:44   14.9    0.0   0.01    1.3    9.0  09:43    355
 02   47.4   59.3  14:16   38.8  07:34   17.6    0.0   0.47    3.1   20.0  20:32    186
 03   48.3   55.4  13:16   40.7  07:27   16.7    0.0   0.03    2.3   20.0  14:47    326
 04   46.8   56.7  14:06   37.4  07:19   18.2    0.0   0.00    1.8   16.0  01:08    354
 05   46.5   60.7  16:08   39.4  04:59   18.5    0.0   0.00    1.1   11.0  12:28    347
 06   43.8   53.6  15:40   33.3  07:13   21.2    0.0   0.09    2.2   19.0  17:37    215
 07   44.1   52.7  14:21   35.7  07:39   20.9    0.0   0.00    4.3   20.0  11:31    335
 08   40.3   54.5  15:42   28.4  07:22   24.7    0.0   0.00    0.9   11.0  12:46      6
 09   44.0   59.5  16:22   30.0  07:22   21.0    0.0   0.00    2.4   27.0  20:57    345
 10   47.7   55.2  14:26   39.6  07:39   17.3    0.0   0.00    4.1   20.0  23:54    325
 11   44.4   53.6  15:45   36.0  23:11   20.6    0.0   0.02    2.7   19.0  00:33    333
 12   40.6   55.6  15:04   27.1  07:07   24.4    0.0   0.00    1.5   11.0  13:33    349
 13   43.3   58.3  15:24   32.5  06:35   21.7    0.0   0.00    0.8   10.0  13:29     17
 14   49.1   63.6  15:39   36.3  02:44   15.9    0.0   0.00    1.7   12.0  13:48    348
 15   49.7   63.6  13:48   42.9  01:26   15.3    0.0   0.00    1.3    8.0  04:02      2
 16   49.9   62.9  14:34   41.2  07:45   15.1    0.0   0.00    2.8   17.0  14:59    180
 17   53.7   62.9  15:29   48.4  21:39   11.3    0.0   0.06    1.3   10.0  13:01    337
 18   48.3   59.9  14:52   39.5  05:33   16.7    0.0   0.00    1.4   18.0  15:40    207
 19   50.6   60.0  15:04   42.5  06:56   14.4    0.0   0.18    2.3   18.0  15:27    177
 20   54.7   58.5  13:51   50.5  23:55   10.3    0.0   0.52    3.6   13.0  05:32    193
 21   52.6   57.5  15:31   49.4  02:08   12.4    0.0   0.28    1.3   13.0  14:24    203
 22   55.1   60.9  14:02   48.6  23:58    9.9    0.0   0.24    3.9   26.0  02:46    204
 23   53.3   61.9  15:21   46.6  03:57   11.7    0.0   0.00    2.5   15.0  10:30    334
 24   50.7   54.8  16:22   46.6  00:06   14.3    0.0   0.19    1.9   14.0  10:40    201
 25   53.7   61.6  15:06   47.3  23:39   11.3    0.0   0.01    2.7   15.0  19:23    342
 26   52.1   64.3  13:20   42.0  06:55   12.9    0.0   0.01    1.5    9.0  11:26      2
 27   56.2   67.3  14:33   44.9  07:17    8.8    0.0   0.00    2.0   12.0  13:43      1
 28   57.9   76.3  14:46   43.7  07:48    7.1    0.0   0.00    2.0   12.0  15:42    215
 29   54.6   74.5  13:50   41.0  07:14   10.4    0.0   0.00    1.6   14.0  16:36    192
 30   51.6   68.8  14:29   39.3  06:38   13.4    0.0   0.00    1.7   15.0  15:46    203
 31   50.9   58.6  13:50   41.7  05:00   14.1    0.0   0.46    5.1   30.0  13:55    175
---------------------------------------------------------------------------------------
      49.4   76.3     28   27.1     12  483.2    0.0   2.57    2.2   30.0     31    283
